CE-Fr,EGNR101:EGEE125:EGNR140,CHEM115:CSCI105:ENGL110:MATH151:CSCI121:ENGL111:MATH152
CE-So,EGEE280:EGEE210,CSCI122:MATH251:PHYS231:COMM101:CSCI201:CSCI221:PHYS232:MATH310
CE-Jr,EGEE250:EGEE370:EGNR340:EGEE345:EGEE355:EGNR346:EGEE425:EGRS385:EGRS430:EGRS435,CSCI341:MATH308
CE-Sr,EGEE320:EGNR491:EGEE425:EGNR495:EGRS385:EGRS430:EGRS435:EGRS460:EGRS461:EGEM220,HUMN251
EE-Fr,EGNR101:EGEE125:EGNR140,CHEM115:ENGL110:MATH151:ENGL111:MATH152
EE-So,EGEE280:EGEE250:EGEE210:EGNR340:EGNR265,MATH251:PHYS231:MATH310:PHYS232
EE-Jr,EGEE310:EGEE370:EGEM220:EGEE345:EGEE375:EGNR346:EGRS385:EGRS430:EGRS435:EGEM320:EGME225:EGME337:EGEE320:EGEE355:EGEE425:EGEE365:EGME310:EGME411,COMM101:MATH308
EE-Sr,EGEE330:EGNR491:EGRS460:EGNR495:EGRS461:EGRS385:EGRS430:EGRS435:EGEM320:EGME225:EGME337:EGEE320:EGEE355:EGEE425:EGEE365:EGME310:EGME411,HUMN251
EET-Fr,EGME141:EGNR101:EGEE125,ENGL110:MATH111:CHEM108:CHEM109:ENGL111:MATH131
EET-So,EGET110:EGNR140:EGET175:EGNR245:EGNR265:EGRS215,COMM101:MATH112:PHYS221:PHYS222
EET-Jr,EGEE250:EGRS380:EGRS381:EGEE355:EGET310:EGRS365:EGRS430:EGRS480:EGRS481,MATH207:MGMT375
EET-Sr,EGEE320:EGNR491:EGNR310:EGNR495:EGRS430:EGRS480:EGRS481,HUMN251:ECON302
ME-Fr,EGME110:EGME141:EGNR101:EGNR140,ENGL110:MATH151:CHEM115:ENGL111:MATH152
ME-So,EGNR265:EGEM220:EGME225:EGME275:EGME276,MATH251:PHYS231:MATH310:PHYS232
ME-Jr,EGEE210:EGEM320:EGME350:EGNR340:EGME337:EGME338:EGME339:EGEE280:EGEE365:EGME240:EGME310:EGME415:EGME425:EGRS365:EGRS385:EGRS430:EGRS435:EGME312:EGNR310,COMM101:MATH308
ME-Sr,EGEE300:EGNR491:EGME431:EGME432:EGRS460:EGRN495:EGEE280:EGEE365:EGME240:EGME310:EGME415:EGME425:EGRS365:EGRS385:EGRS430:EGRS435:EGME312:EGNR310,HUMN251
MT-Fr,EGME110:EGME141:EGNR101:EGEE125,MATH102:ENGL110:MATH207:ENGL111:MATH140:CHEM115
MT-So,EGNR265:EGET110:EGME312:EGMT225:EGME240:EGRS215:EGET175:EGNR310,PHYS221:COMM101
MT-Jr,EGRS380:EGRS381:EGNR310:EGME312:EGNR140:EGRS365:EGME275:EGME276:EGNR245:EGRS430,MATH112
MT-Sr,EGNR491:EGRS480:EGRS481:EGNR495:EGRS430,HUMN251:ECON302:MGMT360
